"CustomerAge","JobTitle","CivilStatus","EducationLevel","Default","MortgageLoan","PersonalLoan","ContactMode","Month","WeekDay","ContactDuration","Campaign","DaysPassed","NumberContacts","PreviousOutcome","EmploymentVarRate","ConsumerPriceIndex","ConsumerConfidenceIndex","Euribor3M","NumEmployees","Subscribed","CustomerID"
51,"technician","single","university.degree","no","no","no","cellular","jun","fri",151,2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no","569ddf8dcb5af0cbc7177be6a8b9700d"
48,"technician","married","university.degree","no","no","no","cellular","aug","thu",42,7,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no","20c9a920779e3feca5b4ed6948450f8a"
28,"blue-collar","single","basic.9y","no","yes","no","telephone","jun","wed",525,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no","b3f52af93509f5f31091c155fe25b6d0"
36,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",57,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no","e70db76089c6ef212f24de83220ba18c"
46,"management","divorced","high.school","no","no","no","cellular","nov","wed",499,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no","3a9a9ac6ee90199fb655068018c70f57"
31,"technician","single","unknown","no","yes","no","cellular","may","wed",84,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no","1798d3e803e2a601147ca242448272f2"
35,"services","married","high.school","unknown","yes","no","cellular","may","tue",31,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no","ade76ff25149e0df3a56010f12ea82fd"
38,"blue-collar","married","basic.9y","unknown","unknown","unknown","telephone","jun","fri",430,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no","86445152ab5a5c8bffb7b2e02dc13beb"
76,"retired","married","university.degree","no","no","no","cellular","aug","thu",126,1,999,1,"failure",-1.7,94.027,-38.3,0.899,4991.6,"no","3a289991381335a0fc94ad80f79fe88e"
32,"housemaid","married","basic.4y","no","yes","yes","cellular","may","fri",340,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no","9df68a3a913f1efcc1ee23b4f1d66439"
39,"management","single","university.degree","unknown","no","no","cellular","may","thu",412,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no","d17ee83b24d91542bc3be4b61e80adc4"
29,"admin.","single","basic.9y","no","no","no","cellular","may","mon",79,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no","80b0ae73fe0e882b0a24973e4e2c8203"
44,"services","married","professional.course","no","no","no","cellular","aug","mon",341,2,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no","754bc61780613e9dbb928b88e1e3d6f5"
32,"services","married","high.school","no","no","yes","cellular","jul","fri",157,3,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no","9a6564e67167bff7e7cf99a541a641f1"
56,"retired","married","university.degree","no","yes","no","cellular","jun","wed",252,1,999,2,"failure",-2.9,92.963,-40.8,1.26,5076.2,"no","5b64a41e0f2c1152e7945d518cec93aa"
33,"blue-collar","married","basic.9y","no","yes","no","cellular","may","thu",263,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no","58358dd2dcc33f743f22d1a7753b7ec0"
24,"technician","married","university.degree","no","yes","yes","cellular","sep","tue",89,2,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"yes","192b298ed4661ab6d9a4a193b2e60b49"
33,"admin.","single","university.degree","no","yes","no","cellular","may","thu",143,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no","8dcc9ab9194a962167360a4ff6bb6827"
58,"entrepreneur","divorced","university.degree","no","no","no","telephone","jun","thu",40,2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no","57d435173cd01ba1272e9bbc2e1d0296"
29,"admin.","single","university.degree","no","yes","no","telephone","jun","fri",10,27,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no","2c45c8cf026c7d9bbf15d52f63c323ea"
31,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",113,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no","22b237f09483940655e05981a6c3105e"
27,"admin.","married","university.degree","no","no","no","telephone","may","wed",191,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no","6cb0c41728b80235d1532f88c59ce9e6"
60,"admin.","divorced","professional.course","no","yes","no","cellular","sep","wed",481,1,999,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"yes","3e98cd61c0f0313ba5b0b2fa1a37a0ec"
55,"entrepreneur","married","professional.course","no","yes","yes","cellular","oct","mon",233,1,999,2,"failure",-3.4,92.431,-26.9,0.739,5017.5,"no","3c751d122f0ba36ec8280d355e25b96e"
37,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",204,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no","e65288ab08a1f50a7e0e9a972d0cdad3"
52,"admin.","married","unknown","no","yes","no","telephone","apr","wed",403,1,6,1,"success",-1.8,93.749,-34.6,0.654,5008.7,"yes","5dfdba537fcd9880bb235099a0b2d71b"
46,"services","married","high.school","no","yes","no","cellular","apr","mon",180,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no","3742cd671c7f6d482c2e7942eeb43346"
42,"blue-collar","divorced","basic.6y","no","yes","no","cellular","may","wed",16,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no","ac995caa44fcaf83bf6c073b43877857"
35,"admin.","single","university.degree","no","yes","no","cellular","jul","mon",447,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no","70907d9a2fe63b90036adda611231960"
49,"technician","divorced","unknown","no","yes","yes","cellular","oct","thu",81,1,999,0,"nonexistent",-3.4,92.431,-26.9,0.754,5017.5,"no","262e00171252ad97820501c35c732e3d"
29,"services","divorced","high.school","no","no","yes","telephone","jun","mon",361,3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no","1b387a44b518030b040d524a5fa7e672"
32,"blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",1091,2,5,1,"success",-0.1,93.2,-42,4.191,5195.8,"yes","4c1c7a82abdeabc37b73b2e8328302eb"
37,"self-employed","married","university.degree","no","no","no","cellular","may","fri",395,1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no","cc18eca3d186eb8772b9768990dcd2ea"
39,"technician","single","professional.course","unknown","no","no","telephone","jun","mon",432,4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes","58f8415e0549358f3130fdf48d04df90"
51,"services","married","high.school","unknown","yes","no","telephone","jul","mon",596,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes","19a336d14cac8032ba75a208e4125f1a"
28,"admin.","single","high.school","no","yes","no","cellular","may","tue",59,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no","e15efc0db45ebdee4bebbca843987014"
34,"management","married","university.degree","no","yes","no","cellular","may","wed",77,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no","b2270462f2828b7ed3cf277c28b04401"
31,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",96,5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no","d56c4f7c4ce276c7e47e1fa52e70d4b6"
31,"admin.","single","university.degree","no","yes","no","telephone","jun","wed",357,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no","6953b334169bd7ec7da1c1eda5aaf6a5"
33,"unemployed","married","basic.9y","no","no","no","telephone","jun","fri",11,6,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no","376fd1e6227fbec1b4f0dfc602df8ac2"
32,"technician","single","university.degree","no","no","no","cellular","aug","tue",264,12,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no","e4ced46f028c228b02d106d874876fe8"
54,"technician","married","professional.course","unknown","yes","no","cellular","apr","mon",698,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no","f77ad541453410f4475d7e0c4fe3f16c"
41,"admin.","divorced","high.school","no","yes","no","telephone","jun","tue",204,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no","c0599eaf8f88db0115df30870dfe20ec"
59,"services","married","basic.4y","unknown","no","no","cellular","aug","thu",93,7,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no","2af87dfdb66a77e47ec325e40c275f91"
57,"retired","married","university.degree","no","yes","no","cellular","apr","thu",374,1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"no","1c109d9978bde65a1acfc72c837b33a2"
38,"entrepreneur","divorced","university.degree","no","yes","no","cellular","nov","thu",252,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no","7ab69e3fecb682059d72baa68c4e8213"
46,"admin.","married","university.degree","no","yes","no","telephone","may","tue",158,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no","8f5291d0e6a2a1a9fbb4c2bfdbf53f72"
45,"admin.","single","university.degree","no","no","no","cellular","aug","thu",505,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes","e444a32cd8c806b12b8baff9696a342f"
36,"blue-collar","married","basic.6y","no","yes","no","telephone","jul","wed",16,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no","61cfd76d5a3568255886c537a793ea5a"
40,"unemployed","single","high.school","no","yes","no","cellular","jul","mon",300,5,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no","6df7b5c5831fffc7cbce9a00d0cf40b3"
38,"blue-collar","married","basic.9y","no","no","no","cellular","nov","tue",180,2,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no","be38593212fa16b5a5be0a47ad23db30"
44,"blue-collar","married","high.school","unknown","no","no","telephone","jun","tue",390,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no","e1c87205446e1c8cc10879d9851cd008"
25,"self-employed","married","university.degree","no","yes","no","telephone","may","fri",274,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no","ea0bb59a602a20e8b227d3dfb8bdc698"
30,"blue-collar","single","basic.6y","no","yes","no","telephone","jul","tue",135,5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no","8636eeb2cc941c94ef05c8b79cde15fa"
43,"management","married","professional.course","no","no","no","cellular","nov","tue",257,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no","c573cfd6ff802932578f5a94dbb38a79"
58,"retired","married","basic.6y","unknown","no","no","telephone","may","mon",268,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no","c6df9ff55bfad3fa7254de0d17b5a7f5"
31,"technician","married","professional.course","no","yes","no","telephone","may","wed",157,6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no","b67babb4a76e89b72ff6f1ad5a4a36fe"
52,"admin.","married","unknown","no","no","no","cellular","aug","tue",91,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no","5d6e7fe43b3b73e5fd2961d5162486fa"
37,"management","married","university.degree","unknown","no","yes","cellular","apr","fri",76,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no","a3d23ed0f2dcc23bddbb34fd8ae81697"
38,"admin.","single","unknown","no","yes","no","cellular","may","fri",191,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no","bd15e8575c605a44f323d2c67cbfd7f1"
33,"services","single","basic.9y","no","yes","no","cellular","apr","thu",483,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no","a7f7cec46d9e1398c6bb0b72351f3eab"
45,"services","married","high.school","unknown","yes","no","cellular","may","fri",250,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no","a9e14dbfeff6e00aa61c853c0bfe5770"
44,"entrepreneur","married","professional.course","no","no","no","telephone","may","mon",259,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no","2ebc360474e27783ccebf2ff342350b0"
38,"blue-collar","married","basic.6y","no","yes","no","telephone","jul","thu",389,2,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,"no","a8be04950d41d60d811755d295b8d93d"
34,"blue-collar","married","basic.9y","no","no","no","telephone","jun","tue",7,1,999,0,"nonexistent",-1.7,94.055,-39.8,0.702,4991.6,"no","6bd2186d41f1011520ab49024c67545d"
47,"management","married","university.degree","no","yes","no","cellular","jul","wed",123,1,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"no","f3db7d6f57dd837661ceba124833d3f6"
59,"admin.","married","university.degree","no","yes","yes","cellular","jul","wed",92,1,999,0,"nonexistent",-2.9,92.469,-33.6,1.085,5076.2,"no","6ab3d402d9b22801ab4fb94ef4e63b1d"
51,"blue-collar","married","basic.4y","unknown","yes","yes","cellular","aug","thu",297,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no","be061c8c4c028f11b48ab27cc2325ce3"
31,"blue-collar","married","basic.6y","no","yes","no","telephone","jun","wed",406,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no","0cc62a4994b375381aa63224be43a143"
56,"management","married","university.degree","no","yes","yes","cellular","nov","wed",104,1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no","0bc72cabae0bf26cffc8292ef3a3e550"
41,"entrepreneur","married","university.degree","no","yes","no","cellular","nov","tue",854,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes","e6c63b6571d445697f2c2e2089fe7fa4"
53,"services","married","high.school","unknown","no","no","telephone","may","thu",203,4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no","b753cc10f946235ddc6b12d579d439f4"
35,"blue-collar","married","high.school","no","no","yes","cellular","jul","mon",149,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no","f05f4aab106244d23156417cdae8f6f7"
58,"retired","married","basic.9y","no","no","yes","cellular","may","wed",144,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no","3850746911bb492c8445964365202c5b"
28,"services","single","high.school","no","no","no","cellular","jul","wed",73,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no","bc05d7bb98c91956bb9882c8c4b83de9"
55,"blue-collar","married","professional.course","no","yes","yes","cellular","may","fri",197,3,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no","aa2ddffdd784bf2cdec19f719c582cf5"
54,"entrepreneur","married","basic.4y","unknown","no","yes","telephone","may","thu",108,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no","6a1dca2c6b2f514020bab5e8d3dab503"
45,"technician","divorced","basic.9y","unknown","no","no","cellular","jul","wed",80,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no","1c61ffeb3d95d457be6310c4a4d5b996"
32,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","thu",114,1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no","ef9a5066680b66ce8ae25c2560e99566"
75,"retired","married","basic.4y","no","no","no","cellular","apr","tue",109,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes","125d7519071575f4c5611228dfc79364"
33,"self-employed","divorced","unknown","no","no","no","telephone","may","wed",1161,4,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no","bbf77ebc365ea5855142ed8da3c87cf6"
29,"management","married","university.degree","no","no","yes","cellular","aug","wed",181,2,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no","9a9c69f0e6a752abcaf253893a2f8efc"
45,"management","married","university.degree","no","yes","no","cellular","may","thu",239,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no","319a0ebaed1dd330838238a077d60c6d"
38,"admin.","divorced","university.degree","no","no","no","cellular","apr","mon",360,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.392,5099.1,"yes","1a4455c01b540fc7c17e995851c08a08"
41,"technician","married","professional.course","no","yes","no","cellular","aug","mon",984,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no","0e46059b88bf0f9e692581138ec1ad01"
58,"retired","divorced","high.school","no","yes","no","cellular","jun","tue",663,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,"yes","8d11f0050fba91e85a282b3f47da15c7"
34,"admin.","married","university.degree","no","no","yes","telephone","may","wed",157,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no","9cc06694685fdbd3712e11a270312a58"
37,"technician","divorced","professional.course","no","no","no","telephone","may","wed",374,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no","6ab59a5dc548cdbe65a353f73043f412"
53,"blue-collar","divorced","basic.4y","no","no","no","telephone","jun","wed",706,1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes","bfc11d0fe85d8e3038dc8efe8787392c"
54,"technician","divorced","professional.course","no","yes","yes","cellular","jul","tue",797,14,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no","e064b40c9ca28b04b874bcd8bdefa41e"
32,"technician","divorced","professional.course","no","yes","no","cellular","nov","tue",250,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no","3b6d002135d8d45a3c5f4a9fb857c323"
28,"technician","single","professional.course","no","yes","no","cellular","aug","thu",63,2,3,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"yes","44865f1c212fb27ca7ab5b7154dcf398"
41,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","mon",148,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no","af0611ea4095097826b290ff37c0ac86"
31,"services","married","high.school","no","no","yes","cellular","nov","thu",49,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no","78f799aab6957dffdfd2bfb504f8cab5"
40,"technician","married","basic.9y","unknown","no","yes","telephone","may","thu",171,4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no","d541e22dc903b2f1eb25cbd14ff722ee"
53,"unknown","married","basic.9y","no","no","yes","cellular","nov","wed",242,1,999,1,"failure",-3.4,92.649,-30.1,0.716,5017.5,"no","fc57f0959ca851066dad9b18b9f0fa0c"
82,"housemaid","married","basic.4y","no","no","no","telephone","sep","tue",279,3,3,2,"success",-1.1,94.199,-37.5,0.877,4963.6,"yes","d3b22cffbbeea4aaf9ad934f82a9c025"
30,"admin.","married","high.school","unknown","yes","no","cellular","nov","wed",246,3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no","e28cae67011ff508866b2532a8d70d42"
31,"unemployed","single","university.degree","no","yes","no","cellular","jul","tue",309,1,6,3,"success",-1.7,94.215,-40.3,0.835,4991.6,"yes","4013bdc133cf3a31e077fa0410d3b6f5"
32,"technician","single","university.degree","no","yes","no","cellular","aug","wed",168,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no","aa46ec0eda6b9268581f7b6334fe5368"
54,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","tue",153,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no","af3c491d215df7ac4778c043c2d1bf03"
31,"blue-collar","married","basic.9y","no","no","no","cellular","jul","wed",152,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no","4e8a0ea7b74d4bf3c9423eead25cfbd9"
50,"services","married","unknown","no","yes","no","cellular","aug","thu",90,2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no","7a859a24724fae9872489cbaa887f753"
47,"technician","single","unknown","no","no","no","cellular","jul","tue",117,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no","a26bbb0ce133c97525563e617cac8f52"
32,"unemployed","married","high.school","no","yes","no","cellular","nov","thu",640,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no","e9def2df74a7a2f9b00e8dfadbd1ce6e"
46,"admin.","single","high.school","no","yes","no","cellular","nov","mon",199,2,999,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no","1860ca1e262ddff3c9e57f8c3e65c113"
47,"admin.","single","high.school","no","no","no","cellular","may","mon",1114,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no","11696f02468541ec69fb6baba1daae66"
32,"admin.","single","high.school","no","no","no","cellular","nov","mon",74,2,999,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no","09b7c5f2db0f3079ce4979b5a75e4a45"
52,"services","divorced","high.school","unknown","no","no","cellular","nov","mon",190,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no","446677ea144f6d0c1fb8cd9516e0f9e3"
45,"admin.","married","high.school","no","yes","no","cellular","oct","fri",738,3,6,1,"success",-1.1,94.601,-49.5,1.029,4963.6,"yes","e0fd6e666e9f337483a46de3880e76f0"
32,"admin.","married","university.degree","no","yes","no","cellular","may","fri",374,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no","cb8174f734cadd66950e79b53599d019"
71,"blue-collar","divorced","basic.4y","unknown","no","no","cellular","aug","thu",224,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,"no","242f3fe311473815db79235ff6708bde"
49,"services","married","high.school","no","yes","no","telephone","may","fri",344,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no","98616fd038a28bd3aac2db8f903ebb2d"
46,"admin.","married","high.school","no","yes","yes","telephone","jun","wed",148,10,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no","caa8d8cfd1d95f769aa613f35a4245d5"
46,"blue-collar","married","professional.course","no","no","no","cellular","nov","fri",383,1,999,0,"nonexistent",-1.1,94.767,-50.8,1.028,4963.6,"no","830e946fdd8037512e29e4c2fe7ca93f"
38,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",35,6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no","9564c75e11688d755ea80e5758c6a0ef"
57,"services","married","professional.course","unknown","no","no","cellular","aug","mon",153,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no","8c2afe893b01f3a8c63e1aef3b5aad9e"
47,"technician","married","university.degree","no","yes","no","cellular","aug","wed",345,7,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no","10ed7b15ca812930d29ea06c2edde7ef"
40,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","wed",951,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no","28e5ae5d48ceecbe905cc32952648765"
57,"retired","single","professional.course","no","yes","no","telephone","may","mon",188,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no","7c51505b2b0fcd158afdb465711ecc75"
