id,year,Deflator,Dllr,chngdllr,pctChng,amount,TrueCode,majorfunction,subfunction,FunctionName,IsItMajorFunction,IsItSubFunction,IsItSubSubFunction,programmatic,discretionary,mandatory,Congress
2,1947,0.1216,118610,0,0,14423,050 Defs,50,,National Defense,1,0,0,0,0,0,80
3,1947,0.1216,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
4,1947,0.1216,118339,0,0,14390,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,80
5,1947,0.1216,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,80
6,1947,0.1216,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,80
7,1947,0.1216,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,80
8,1947,0.1216,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,80
9,1947,0.1216,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,80
10,1947,0.1216,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,80
11,1947,0.1216,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,80
12,1947,0.1216,0,0,0,0,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,80
13,1947,0.1216,271.382,0,0,33,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,80
117,1948,0.1331,75927.9,-42682.3,-35.9854,10106,050 Defs,50,,National Defense,1,0,0,0,0,0,80
118,1948,0.1331,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
119,1948,0.1331,74575.5,-43763.3,-36.9813,9926,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,80
120,1948,0.1331,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,80
121,1948,0.1331,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,80
122,1948,0.1331,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,80
123,1948,0.1331,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,80
124,1948,0.1331,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,80
125,1948,0.1331,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,80
126,1948,0.1331,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,80
127,1948,0.1331,1314.8,1314.8,0,175,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,80
128,1948,0.1331,37.5657,-233.816,-86.1575,5,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,80
232,1949,0.1375,83592.7,7664.85,10.0949,11494,050 Defs,50,,National Defense,1,0,0,0,0,0,81
233,1949,0.1375,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,81
234,1949,0.1375,76356.4,1780.86,2.388,10499,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,81
235,1949,0.1375,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,81
236,1949,0.1375,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,81
237,1949,0.1375,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,81
238,1949,0.1375,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,81
239,1949,0.1375,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,81
240,1949,0.1375,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,81
241,1949,0.1375,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,81
242,1949,0.1375,4523.64,3208.84,244.055,622,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,81
243,1949,0.1375,2712.73,2675.16,7121.28,373,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,81
347,1950,0.1355,115063,31470,37.6468,15591,050 Defs,50,,National Defense,1,0,0,0,0,0,81
348,1950,0.1355,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,81
349,1950,0.1355,105550,29193.5,38.2332,14302,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,81
350,1950,0.1355,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,81
351,1950,0.1355,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,81
352,1950,0.1355,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,81
353,1950,0.1355,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,81
354,1950,0.1355,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,81
355,1950,0.1355,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,81
356,1950,0.1355,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,81
357,1950,0.1355,6191.88,1668.25,36.8785,839,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,81
358,1950,0.1355,3321.03,608.306,22.4241,450,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,81
462,1951,0.1428,368810,253747,220.529,52666,050 Defs,50,,National Defense,1,0,0,0,0,0,82
463,1951,0.1428,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,82
464,1951,0.1428,334188,228638,216.616,47722,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,82
465,1951,0.1428,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,82
466,1951,0.1428,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,82
467,1951,0.1428,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,82
468,1951,0.1428,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,82
469,1951,0.1428,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,82
470,1951,0.1428,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,82
471,1951,0.1428,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,82
472,1951,0.1428,13837.5,7645.65,123.479,1976,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,82
473,1951,0.1428,20784.3,17463.3,525.84,2968,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,82
577,1952,0.1485,419374,50564.2,13.7101,62277,050 Defs,50,,National Defense,1,0,0,0,0,0,82
578,1952,0.1485,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,82
579,1952,0.1485,406316,72128.8,21.5833,60338,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,82
580,1952,0.1485,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,82
581,1952,0.1485,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,82
582,1952,0.1485,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,82
583,1952,0.1485,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,82
584,1952,0.1485,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,82
585,1952,0.1485,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,82
586,1952,0.1485,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,82
587,1952,0.1485,8801.35,-5036.19,-36.3952,1307,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,82
588,1952,0.1485,4255.89,-16528.4,-79.5235,632,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,82
692,1953,0.1512,350450,-68924,-16.435,52988,050 Defs,50,,National Defense,1,0,0,0,0,0,83
693,1953,0.1512,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,83
694,1953,0.1512,322586,-83730.5,-20.6072,48775,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,83
695,1953,0.1512,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,83
696,1953,0.1512,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,83
697,1953,0.1512,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,83
698,1953,0.1512,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,83
699,1953,0.1512,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,83
700,1953,0.1512,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,83
701,1953,0.1512,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,83
702,1953,0.1512,26977.5,18176.2,206.516,4079,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,83
703,1953,0.1512,886.243,-3369.65,-79.1762,134,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,83
807,1954,0.153,237680,-112770,-32.1786,36365,050 Defs,50,,National Defense,1,0,0,0,0,0,83
808,1954,0.153,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,83
809,1954,0.153,226078,-96507.5,-29.9168,34590,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,83
810,1954,0.153,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,83
811,1954,0.153,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,83
812,1954,0.153,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,83
813,1954,0.153,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,83
814,1954,0.153,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,83
815,1954,0.153,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,83
816,1954,0.153,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,83
817,1954,0.153,7307.19,-19670.3,-72.9137,1118,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,83
818,1954,0.153,4294.12,3407.87,384.53,657,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,83
922,1955,0.1542,211427,-26253,-11.0455,32602,050 Defs,50,,National Defense,1,0,0,0,0,0,84
923,1955,0.1542,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,84
924,1955,0.1542,199663,-26415.7,-11.6843,30788,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,84
925,1955,0.1542,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,84
926,1955,0.1542,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,84
927,1955,0.1542,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,84
928,1955,0.1542,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,84
929,1955,0.1542,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,84
930,1955,0.1542,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,84
931,1955,0.1542,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,84
932,1955,0.1542,8333.33,1026.14,14.0429,1285,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,84
933,1955,0.1542,3430.61,-863.508,-20.1091,529,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,84
1037,1956,0.1582,221131,9704.76,4.59012,34983,050 Defs,50,,National Defense,1,0,0,0,0,0,84
1038,1956,0.1582,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,84
1039,1956,0.1582,209772,10109.7,5.06338,33186,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,84
1040,1956,0.1582,0,0,0,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,84
1041,1956,0.1582,0,0,0,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,84
1042,1956,0.1582,0,0,0,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,84
1043,1956,0.1582,0,0,0,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,84
1044,1956,0.1582,0,0,0,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,84
1045,1956,0.1582,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,84
1046,1956,0.1582,0,0,0,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,84
1047,1956,0.1582,7452.59,-880.742,-10.5689,1179,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,84
1048,1956,0.1582,3906.45,475.838,13.8704,618,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,84
1152,1957,0.1641,233638,12506.5,5.6557,38340,050 Defs,50,,National Defense,1,0,0,0,0,0,85
1153,1957,0.1641,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,85
1154,1957,0.1641,220932,11159.9,5.32001,36255,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,85
1155,1957,0.1641,67349.2,67349.2,0,11052,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,85
1156,1957,0.1641,59317.5,59317.5,0,9734,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,85
1157,1957,0.1641,68823.9,68823.9,0,11294,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,85
1158,1957,0.1641,13315.1,13315.1,0,2185,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,85
1159,1957,0.1641,11669.7,11669.7,0,1915,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,85
1160,1957,0.1641,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,85
1161,1957,0.1641,457.038,457.038,0,75,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,85
1162,1957,0.1641,11956.1,4503.53,60.4291,1962,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,85
1163,1957,0.1641,749.543,-3156.9,-80.8125,123,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,85
1267,1958,0.1691,231674,-1964.46,-0.840814,39176,050 Defs,50,,National Defense,1,0,0,0,0,0,85
1268,1958,0.1691,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,85
1269,1958,0.1691,217309,-3623.07,-1.6399,36747,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,85
1270,1958,0.1691,64943.8,-2405.36,-3.57148,10982,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,85
1271,1958,0.1691,60443.5,1126.04,1.89833,10221,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,85
1272,1958,0.1691,64949.7,-3874.15,-5.62908,10983,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,85
1273,1958,0.1691,13867.5,552.482,4.14929,2345,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,85
1274,1958,0.1691,12335.9,666.182,5.70865,2086,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,85
1275,1958,0.1691,0,0,0,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,85
1276,1958,0.1691,768.776,311.737,68.2081,130,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,85
1277,1958,0.1691,13968.1,2011.94,16.8277,2362,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,85
1278,1958,0.1691,396.215,-353.328,-47.1391,67,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,85
1382,1959,0.1717,256057,24383.5,10.5249,43965,050 Defs,50,,National Defense,1,0,0,0,0,0,86
1383,1959,0.1717,0,0,0,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,86
1384,1959,0.1717,239761,22451.9,10.3318,41167,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,86
1385,1959,0.1717,66732.7,1788.85,2.75446,11458,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,86
1386,1959,0.1717,59330.2,-1113.3,-1.84189,10187,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,86
1387,1959,0.1717,83308.1,18358.4,28.2656,14304,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,86
